<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RSTI,10,20161101,101000,0.9760000,0.9768000,0.9687000,0.9700000,19130000
RSTI,10,20161101,102000,0.9691000,0.9750000,0.9691000,0.9732000,7715000
RSTI,10,20161101,103000,0.9738000,0.9830000,0.9714000,0.9830000,15548000
RSTI,10,20161101,104000,0.9831000,0.9886000,0.9783000,0.9847000,28276000
RSTI,10,20161101,105000,0.9848000,0.9974000,0.9848000,0.9910000,76585000
RSTI,10,20161101,110000,0.9909000,1.0089000,0.9884000,1.0061000,97859000
RSTI,10,20161101,111000,1.0060000,1.0167000,1.0060000,1.0133000,58843000
RSTI,10,20161101,112000,1.0131000,1.0159000,1.0123000,1.0144000,39195000
RSTI,10,20161101,113000,1.0148000,1.0150000,1.0038000,1.0044000,30763000
RSTI,10,20161101,114000,1.0044000,1.0133000,1.0044000,1.0097000,20135000
RSTI,10,20161101,115000,1.0097000,1.0126000,1.0054000,1.0090000,25106000
RSTI,10,20161101,120000,1.0092000,1.0159000,1.0078000,1.0154000,28405000
RSTI,10,20161101,121000,1.0156000,1.0180000,1.0083000,1.0095000,17015000
RSTI,10,20161101,122000,1.0092000,1.0100000,1.0055000,1.0094000,14010000
RSTI,10,20161101,123000,1.0094000,1.0098000,1.0082000,1.0097000,6882000
RSTI,10,20161101,124000,1.0098000,1.0177000,1.0085000,1.0145000,27795000
RSTI,10,20161101,125000,1.0150000,1.0155000,1.0131000,1.0145000,4660000
RSTI,10,20161101,130000,1.0139000,1.0146000,1.0135000,1.0139000,1638000
RSTI,10,20161101,131000,1.0139000,1.0178000,1.0139000,1.0174000,17010000
RSTI,10,20161101,132000,1.0170000,1.0242000,1.0157000,1.0220000,39225000
RSTI,10,20161101,133000,1.0211000,1.0235000,1.0180000,1.0229000,13336000
RSTI,10,20161101,134000,1.0232000,1.0232000,1.0200000,1.0228000,6642000
RSTI,10,20161101,135000,1.0225000,1.0229000,1.0200000,1.0213000,11138000
RSTI,10,20161101,140000,1.0212000,1.0228000,1.0200000,1.0212000,6500000
RSTI,10,20161101,141000,1.0212000,1.0226000,1.0206000,1.0218000,2973000
RSTI,10,20161101,142000,1.0218000,1.0219000,1.0177000,1.0193000,11308000
RSTI,10,20161101,143000,1.0194000,1.0207000,1.0193000,1.0199000,9814000
RSTI,10,20161101,144000,1.0194000,1.0208000,1.0192000,1.0200000,9102000
RSTI,10,20161101,145000,1.0197000,1.0210000,1.0189000,1.0205000,15241000
RSTI,10,20161101,150000,1.0205000,1.0208000,1.0198000,1.0205000,10897000
RSTI,10,20161101,151000,1.0205000,1.0207000,1.0170000,1.0196000,8137000
RSTI,10,20161101,152000,1.0187000,1.0191000,1.0174000,1.0189000,5582000
RSTI,10,20161101,153000,1.0189000,1.0210000,1.0186000,1.0200000,10674000
RSTI,10,20161101,154000,1.0200000,1.0200000,1.0181000,1.0194000,15679000
RSTI,10,20161101,155000,1.0194000,1.0210000,1.0183000,1.0185000,20540000
RSTI,10,20161101,160000,1.0185000,1.0201000,1.0185000,1.0189000,3772000
RSTI,10,20161101,161000,1.0190000,1.0204000,1.0190000,1.0198000,4414000
RSTI,10,20161101,162000,1.0200000,1.0206000,1.0195000,1.0200000,4832000
RSTI,10,20161101,163000,1.0200000,1.0203000,1.0196000,1.0200000,4910000
